Equipo,Titulos,ACamp,SubCamp,ASubCamp
Pittsburgh Steelers,6,"1975, 1976, 1979, 1980, 2006 y 2006",2,1996 y 2011
Dallas Cowboys,5,"1972, 1978, 1993, 1994 y 1996",3,"1971, 1976 y 1979"
San Franssisco 49ers,5,"1982, 1985, 1989, 1990 y 1995",1,2013
Green Bay Packers,4,"1967, 1968, 1997 y 2011",1,1998
New York Giants,4,"1987, 1991, 2008 y 2012",1,2001
New England Patriots,3,"2002, 2004 y 2005",4,"1986, 1997, 2008 y 2012"
Oakland Raiders,3,"1977, 1981 y 1984",2,1968 y 2003
Washington Redskins,3,"1983, 1988 y 1992",2,1973 y 1984
Denver Broncos,2,1998 y 1999,5,"1978, 1987, 1988, 1990 y 2014"
Miami Dolphins,2,1973 y 1974,3,"1972, 1983 y 1985"
Indianapolis Colts,2,1971 y 2007,2,1969 y 2010
Baltimore Ravens,2,2001 y 2013,0,
St. Louis Rams,1,2000,2,1980 y 2002
Kansas Coty Chiefs,1,1970,1,1967
Chicago Bears,1,1986,1,2007
Seattle Seahawks,1,2014,1,2006
New York Jets,1,1969,0,
Tampa Bay Buccaneers,1,2003,0,
New Orleans Saints,1,2010,0,
Minnesita Vikins,0,,4,"1970, 1974, 1975 y 1977"
Buffalo Bills,0,,4,"1991, 1992, 1992 y 1994"
Philadelphia Eagles,0,,2,1981 y 2005
Cincinnati Bengals,0,,2,1982 y 1989
San Diego Chargers,0,,1,1995
Atlanta Falcons,0,,1,1999
Tennessee Titans,0,,1,2000
Carolina Panthers,0,,1,2004
Arizona Cardinals,0,,1,2009
